key,text,notes,english
version,4.7,,4.7
pdf_title,6000 Joer mënschlech Geschicht visualiséiert,,6000 years human history visualized
pdf_subject,Timeline vun der Mënschheet,,Timeline of humankind
BCE,B.C.E.,,B.C.E.
CE,C.E.,,C.E.
year,Joer,"timespan, age (Adam was 130 years old when Shem was born)",year
years,Joer,,years
years_age,Joer,"years when used as age for a person (different word than years in some languages), like he is 23 years old ",years
age_kings, ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""", 
month,Mount,,month
months,Méint,,months
day,Dag,,day
days,Deeg,,days
to,zu,,to
people,Leit,,people
judges,Riichter,,judges
prophets,Prophéiten,,prophets
kings,Kinneken,,kings
periods,Perioden,,periods
events,Evenementer,,events
objects,Objeten oder Elementer,,objects or items
Deluge,Deluge,,Deluge
Adam,Adam,Luke 3:38,Adam
Seth,Seth,,Seth
Enosh,Enosch,,Enosh
Kenan,Kenan,,Kenan
Mahalalel,Mahalalel,,Mahalalel
Jared,Jared,,Jared
Enoch,Enoch,,Enoch
Methuselah,Methusalem,Luke 3:37,Methuselah
Lamech,Lamech,,Lamech
Noah,Noah,,Noah
Shem,Schemm,,Shem
Arpachshad,Arpachshad,Luke 3:36,Arpachshad
Shelah,Shelah,,Shelah
Eber,Eber,,Eber
Peleg,Peleg,,Peleg
Reu,Reu,,Reu
Serug,Serug,Luke 3:35,Serug
Nahor,Nahor,Genesis 11:24 ,Nahor
Terah,Terah,,Terah
Abraham,Abraham,,Abraham
Isaac,Isaac,,Isaac
Jacob,Jakob,Luke 3:34,Jacob
Joseph,Joseph,Genesis 37 ,Joseph
Moses,Moses,,Moses
Othniel,Othniel,Judges 3:9-11,Othniel
Ehud,Ehud,Judges 3:15-18,Ehud
Shamgar,Schamgar,Judges 3:31,Shamgar
Barak,Barak,Judges 4:6,Barak
Gideon,Gideon,Judges 7:1,Gideon
Tola,Tola,Judges 10:1,Tola
Jair,Jair,Judges 10:3,Jair
Jephthah,Jephthah,Judges 11:1,Jephthah
Ibzan,Ibzan,Judges 12:8,Ibzan
Elon,Elon,Judges 12:11,Elon
Abdon,Abdon,Judges 12:13,Abdon
Samson,Samson,Judges 13:24,Samson
Samuel,Samuel,1 Samuel 1:20,Samuel
Saul,Saul,1 Samuel 9:2,Saul
David,David,1 Samuel 16:13,David
Solomon,Solomon,1 Kings 2:1,Solomon
Rehoboam,Rehabeam,first king of southern kingdom of Juda,Rehoboam
Abijah,Abija (Abijam),"3 years, also Abijam",Abijah (Abijam)
Asa,Wéi een,,Asa
Jehoshaphat,Josafat,bce_float = -y+1 - (12-m)/12 – (31-d)/360,Jehoshaphat
Jehoram2,Joram,,Jehoram
Ahaziah,Ahaziah,,Ahaziah
Athaliah,Kinnigin Athaliah,Queen Athaliah,Queen Athaliah
Jehoash,Joasch,,Jehoash
Amaziah,Amaziah,,Amaziah
Uzziah,Uzziah (Azariah),also Azariah,Uzziah (Azariah)
Jotham,Jotham,,Jotham
Ahaz,Ahaz,,Ahaz
Hezekiah,Hiskia,,Hezekiah
Manasseh,Manasseh,,Manasseh
Amon,Amon,,Amon
Josiah,Josiah,,Josiah
Jehoahaz,Joahaz,Only 3 months,Jehoahaz
Jehoiakim,Jojakim,,Jehoiakim
Jehoiachin,Jojachin,Only 3 months 10 days,Jehoiachin
Zedekiah,Zedekia,,Zedekiah
Jeroboam,Jerobeam,first king of northern 10-tribe kingdom,Jeroboam
Nadab,Nadab,less than 2,Nadab
Baasha,Baascha,,Baasha
Elah,Elo,,Elah
Zimri,Zimri,Only 7 days in ca. 751 BCE,Zimri
OmriTibni,Omri an Tibni zesummen,4 years Omri and Tibni,Omri and Tibni together
Omri,Omri (eleng),from 947 Omri alone,Omri (alone)
Ahab,Ahab,,Ahab
Jehoram,Joram,,Jehoram
Jehu,Jehu,,Jehu
Jeoahaz,Jeoahaz,,Jeoahaz
JeoahazJehoash,Jeoahaz an Joasch,For 3 years Jeoahaz and Jeoash reigned together,Jeoahaz and Jehoash
Jehoash2,Joasch (eleng),Jehoash (alone),Jehoash (alone)
Jeroboam2,Jerobeam II,,Jeroboam II
Zechariah,Zechariah,"reign only recorded 6 months, probably only established 792 BCE",Zechariah
Schallum,Schallum,only one month,Schallum
Menahem,Menahem,,Menahem
Pekahiah,Pekahiah,,Pekahiah
Pekah,Pekah,,Pekah
Hoshea,Hosea,9 years from c. 748,Hoshea
Elijah,Elias,,Elijah
